CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL
A4153,BMN 673,1207456-01-6,D09,L1021-04,380.35,DMSO,C19H14F2N6O,FC1=CC2=C3C([[C@H](C4=NC=NN4C)[[C@@H](C(C=C5)=CC=C5F)NC3=C1)=NNC2=O,insoluble in H2O; ≥14.2 mg/mL in EtOH with gentle warming and ultrasonic; ≥19.02 mg/mL in DMSO,,DNA Damage/DNA Repair,PARP,,https://www.apexbt.com/search.php?catalog=A4153
A4154,"Olaparib (AZD2281, Ku-0059436)",763113-22-0,D10,L1021-04,434.46,DMSO,C24H23FN4O3,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,≥21.72 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,Chromatin/Epigenetics,PARP,Potent PARP1/PARP2 inhibitor,https://www.apexbt.com/search.php?catalog=A4154
A4156,"Rucaparib (AG-014699,PF-01367338)",459868-92-9,D11,L1021-04,421.36,DMSO,C19H18FN3O·H3PO4,OP(O)(O)=O.FC1=CC2=C3C(CCNC2=O)=C(C4=CC=C(CNC)C=C4)NC3=C1,≥21.08 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Phosphate,Chromatin/Epigenetics,PARP,Potent PARP inhibitor,https://www.apexbt.com/search.php?catalog=A4156
A4157,Iniparib (BSI-201),160003-66-7,E01,L1021-04,292.03,DMSO,C7H5IN2O3,C1=CC(=C(C=C1C(=O)N)[N+](=O)[O-])I,insoluble in H2O; ≥103.4 mg/mL in DMSO; ≥24.3 mg/mL in EtOH with gentle warming and ultrasonic,,Chromatin/Epigenetics,PARP,"PARP1 inhibitor,intravenously adminsitered",https://www.apexbt.com/search.php?catalog=A4157
A4168,Entacapone,130929-57-6,E02,L1021-04,305.29,DMSO,C14H15N3O5,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N,insoluble in H2O; ≥12.65 mg/mL in EtOH with ultrasonic; ≥13.1 mg/mL in DMSO,,Chromatin/Epigenetics,Histone Methyltransferase,COMT inhibitor,https://www.apexbt.com/search.php?catalog=A4168
A4176,Thioguanine,154-42-7,E03,L1021-04,167.19,DMSO,C5H5N5S,C1=NC2=C(N1)C(=S)N=C(N2)N,insoluble in EtOH; insoluble in H2O; ≥8.35 mg/mL in DMSO with gentle warming,,DNA Damage/DNA Repair,DNA Methyltransferase,Purine antimetabolite,https://www.apexbt.com/search.php?catalog=A4176
A4181,EX 527 (SEN0014196),49843-98-3,E04,L1021-04,248.71,DMSO,C13H13ClN2O,ClC1=CC2=C(C=C1)NC3=C2CCCC3C(N)=O,insoluble in H2O; ≥12.43 mg/mL in DMSO; ≥25.45 mg/mL in EtOH with ultrasonic,Free Base,Chromatin/Epigenetics,Sirtuin,SIRT1 inhibitor,https://www.apexbt.com/search.php?catalog=A4181
A4182,Resveratrol,501-36-0,E05,L1021-04,228.24,DMSO,C14H12O3,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,insoluble in H2O; ≥48.2 mg/mL in EtOH with ultrasonic; ≥9.65 mg/mL in DMSO,Free Base,Chromatin/Epigenetics,Sirtuin,SIRT1 activator,https://www.apexbt.com/search.php?catalog=A4182
A4187,FG-4592 (ASP1517),808118-40-3,E06,L1021-04,352.34,DMSO,C19H16N2O5,CC1=NC(=C(C2=C1C=C(C=C2)OC3=CC=CC=C3)O)C(=O)NCC(=O)O,insoluble in H2O; ≥17.62 mg/mL in DMSO; ≥2.9 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Angiogenesis,HIF,HIF prolyl-hydroxylase inhibitor,https://www.apexbt.com/search.php?catalog=A4187
A4188,2-Methoxyestradiol (2-MeOE2),362-07-2,E07,L1021-04,302.41,DMSO,C19H26O3,CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)OC)O,insoluble in H2O; ≥15.25 mg/mL in DMSO; ≥24.25 mg/mL in EtOH with ultrasonic,Free Base,Apoptosis,Apoptosis Inducers,"Apoptotic, antiproliferative and antiangiogenic agent",https://www.apexbt.com/search.php?catalog=A4188
A4211,Lenalidomide (CC-5013),191732-72-6,E08,L1021-04,259.3,DMSO,C13H13N3O3,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,insoluble in EtOH; insoluble in H2O; ≥100.8 mg/mL in DMSO,Free Base,Apoptosis,TNF-_,"Antineoplastic agent,inhibits angiogenesis",https://www.apexbt.com/search.php?catalog=A4211
A4212,Pomalidomide (CC-4047),19171-19-8,E09,L1021-04,273.2,DMSO,C13H11N3O4,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,insoluble in EtOH; insoluble in H2O; ≥7.5 mg/mL in DMSO,Free Base,Apoptosis,TNF-_,"Immunomodulator,antumor/anti-angiogenic",https://www.apexbt.com/search.php?catalog=A4212
A4216,Thalidomide,50-35-1,E10,L1021-04,258.23,DMSO,C13H10N2O4,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,insoluble in H2O; insoluble in EtOH; ≥11.8 mg/mL in DMSO,Free Base,Apoptosis,TNF-_,"Immunomodulatory agent,sedative drug,angiogenesis inhibitor",https://www.apexbt.com/search.php?catalog=A4216
A4219,Birinapant (TL32711),1260251-31-7,E11,L1021-04,806.94,DMSO,C42H56F2N8O6,CCC(C(=O)N1CC(CC1CC2=C(NC3=C2C=CC(=C3)F)C4=C(C5=C(N4)C=C(C=C5)F)CC6CC(CN6C(=O)C(CC)NC(=O)C(C)NC)O)O)NC(=O)C(C)NC,≥40.35 mg/mL in DMSO; insoluble in H2O; ≥46.9 mg/mL in EtOH,Free Base,Apoptosis,IAP,Potent XIAP/cIAP1 antagonist,https://www.apexbt.com/search.php?catalog=A4219
A4221,YM155,781661-94-7,F01,L1021-04,443.3,DMSO,C20H19BrN4O3,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-],≥22.15 mg/mL in DMSO; ≥13.49 mg/mL in EtOH with ultrasonic; ≥96.2 mg/mL in H2O with ultrasonic,Free Base,Apoptosis,IAP,"Survivin suppressant,apoptosis inhibitor",https://www.apexbt.com/search.php?catalog=A4221
A4227,Tipifarnib (Zarnestra),192185-72-1,F02,L1021-04,489.4,DMSO,C27H22Cl2N4O,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,insoluble in H2O; ≥8.16 mg/mL in DMSO; ≥9.16 mg/mL in EtOH with ultrasonic,,Metabolism,Transferase,,https://www.apexbt.com/search.php?catalog=A4227
A4232,Cyclophosphamide monohydrate,6055-19-2,F03,L1021-04,279.1,DMSO,C7H15Cl2N2O2P·H2O,C1CNP(=O)(OC1)N(CCCl)CCCl.O,≥13.95 mg/mL in DMSO; ≥51.5 mg/mL in H2O with gentle warming and ultrasonic; ≥96 mg/mL in EtOH,Monohydrate,Others,Others,"alkylating, cytotoxic agent,antitumor activity",https://www.apexbt.com/search.php?catalog=A4232
A4233,Methylprednisolone,83-43-2,F04,L1021-04,374.48,DMSO,C22H30O5,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,insoluble in H2O; ≥15.35 mg/mL in DMSO; ≥9.5 mg/mL in EtOH with ultrasonic,Free Base,GPCR/G protein,Glucocorticoid Receptor,"Apoptosis inducer,GR agonist",https://www.apexbt.com/search.php?catalog=A4233
A4237,"Amuvatinib (MP-470, HPK 56)",850879-09-3,F05,L1021-04,447.51,DMSO,C23H21N5O3S,C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6,≥22.4 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Tyrosine Kinase,c-RET,Tyrosine kinase inhibitor,https://www.apexbt.com/search.php?catalog=A4237
A4240,Abiraterone,154229-19-3,F06,L1021-04,349.52,DMSO,C24H31NO,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,insoluble in EtOH; insoluble in H2O; ≥5.57 mg/mL in DMSO with gentle warming,Free Base,Metabolism,P450,Potent CYP17 inhibitor,https://www.apexbt.com/search.php?catalog=A4240
A4302,Rosiglitazone maleate,155141-29-0,F07,L1021-04,473.5,DMSO,C18H19N3O3S·C4H4O4,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3.C(=CC(=O)O)C(=O)O,≥23.7 mg/mL in DMSO; insoluble in H2O; ≥19 mg/mL in EtOH with ultrasonic,Maleate,Metabolism,PPAR,"PPAR_ agonist,high-affinity and selective,potent insulin sensitizer",https://www.apexbt.com/search.php?catalog=A4302
A4304,Rosiglitazone,122320-73-4,F08,L1021-04,357.43,DMSO,C18H19N3O3S,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,insoluble in EtOH; insoluble in H2O; ≥17.85 mg/mL in DMSO,Free Base,Metabolism,PPAR,Potent PPAR_ agonist,https://www.apexbt.com/search.php?catalog=A4304
A4306,Ciprofibrate,52214-84-3,F09,L1021-04,289.15,DMSO,C13H14Cl2O3,CC(C(O)=O)(OC1=CC=C(C2CC2(Cl)Cl)C=C1)C,insoluble in H2O; ≥10.85 mg/mL in DMSO; ≥94.6 mg/mL in EtOH,,Metabolism,PPAR,PPAR_ agonist,https://www.apexbt.com/search.php?catalog=A4306
A4310,Rosiglitazone HCl,302543-62-0,F10,L1021-04,393.89,DMSO,C18H20ClN3O3S,CN(C1=CC=CC=N1)CCOC2=CC=C(CC3C(NC(S3)=O)=O)C=C2.Cl,≥39.4 mg/mL in DMSO; ≥2.81 mg/mL in H2O with gentle warming and ultrasonic; ≥51.2 mg/mL in EtOH with ultrasonic,,Metabolism,PPAR,PPAR_ agonist,https://www.apexbt.com/search.php?catalog=A4310
A4313,Cobicistat (GS-9350),1004316-88-4,F11,L1021-04,776.02,DMSO,C40H53N7O5S2,CC(C1=NC(CN(C(NC(C(NC(CC2=CC=CC=C2)CCC(NC(OCC3=CN=CS3)=O)CC4=CC=CC=C4)=O)CCN5CCOCC5)=O)C)=CS1)C,insoluble in H2O; ≥150.9 mg/mL in DMSO; ≥102.4 mg/mL in EtOH with ultrasonic,,Metabolism,CYP3A/CYP450,Selective CYP3A inhibitor,https://www.apexbt.com/search.php?catalog=A4313
A4316,Ketoconazole,65277-42-1,G01,L1021-04,531.43,DMSO,C26H28Cl2N4O4,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,≥23.4 mg/mL in DMSO; insoluble in H2O; ≥10 mg/mL in EtOH with ultrasonic,Free Base,Metabolism,P450,Inhibitor of cyclosporine oxidase and testosterone 6 beta-hydroxylase,https://www.apexbt.com/search.php?catalog=A4316
A4317,Apremilast (CC-10004),608141-41-9,G02,L1021-04,460.5,DMSO,C22H24N2O7S,CCOC1=C(C=CC(=C1)C(CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,≥23.05 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Metabolism,PDE,PDE4 inhibitor,https://www.apexbt.com/search.php?catalog=A4317
A4319,Roflumilast,162401-32-3,G03,L1021-04,403.21,DMSO,C17H14Cl2F2N2O3,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,insoluble in H2O; ≥20.2 mg/mL in DMSO; ≥9.94 mg/mL in EtOH with ultrasonic,Free Base,Metabolism,PDE,PDE-4 inhibitor,https://www.apexbt.com/search.php?catalog=A4319
A4320,Voriconazole,137234-62-9,G04,L1021-04,349.31,DMSO,C16H14F3N5O,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,≥34.9 mg/mL in DMSO; insoluble in H2O; ≥45 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Metabolism,CYP3A/CYP450,CYP51 inhibitor,https://www.apexbt.com/search.php?catalog=A4320
A4321,Sildenafil Citrate,171599-83-0,G05,L1021-04,666.7,DMSO,C22H30N6O4S·C6H8O7,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,≥25.35 mg/mL in DMSO; insoluble in EtOH; ≥2.97 mg/mL in H2O with gentle warming and ultrasonic,Citrate,Metabolism,PDE,Treat erectile dysfunction and PAH,https://www.apexbt.com/search.php?catalog=A4321
A4322,Clarithromycin,81103-11-9,G06,L1021-04,747.95,DMSO,C38H69NO13,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,≥31.2 mg/mL in DMSO; insoluble in H2O; ≥3.24 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Metabolism,CYP3A/CYP450,"CYP3A inhibitor, potent",https://www.apexbt.com/search.php?catalog=A4322
A4323,Vardenafil HCl Trihydrate,330808-88-3,G07,L1021-04,579.11,DMSO,C23H32N6O4S·HCl·3H2O,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,≥13.3 mg/mL in DMSO; ≥3.42 mg/mL in EtOH with gentle warming and ultrasonic; ≥95 mg/mL in H2O,,Metabolism,PDE,,https://www.apexbt.com/search.php?catalog=A4323
A4324,Pioglitazone HCl,112529-15-4,G08,L1021-04,392.9,DMSO,C19H20N2O3S·HCl,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3.Cl,insoluble in H2O; ≥19.65 mg/mL in DMSO; ≥7.52 mg/mL in EtOH with gentle warming and ultrasonic,Hydrochloride,Metabolism,PPAR,PPAR_ agonist,https://www.apexbt.com/search.php?catalog=A4324
A4327,Tadalafil,171596-29-5,G09,L1021-04,389.4,DMSO,C22H19N3O4,O=C1N(C)CC(N([[C@@H]2C(C=C3)=CC4=C3OCO4)[[C@H]1([H])CC5=C2NC6=CC=CC=C56)=O,insoluble in H2O; insoluble in EtOH; ≥16.6 mg/mL in DMSO,Free Base,Metabolism,PDE,PDE5 inhibitor,https://www.apexbt.com/search.php?catalog=A4327
A4328,Rolipram,61413-54-5,G10,L1021-04,275.34,DMSO,C16H21NO3,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,insoluble in H2O; ≥13 mg/mL in DMSO; ≥24.65 mg/mL in EtOH with ultrasonic,Free Base,Metabolism,PDE,PDE4-inhibitor and an anti-inflammatory agent,https://www.apexbt.com/search.php?catalog=A4328
A4329,Cilomilast,153259-65-5,G11,L1021-04,343.42,DMSO,C20H25NO4,COC1=C(C=C(C=C1)C2(CCC(CC2)C(=O)O)C#N)OC3CCCC3,insoluble in H2O; ≥12.95 mg/mL in DMSO; ≥49.9 mg/mL in EtOH with gentle warming and ultrasonic,,Metabolism,PDE,Potent PDE4 inhibitor,https://www.apexbt.com/search.php?catalog=A4329
A4330,Isotretinoin,4759-48-2,H01,L1021-04,300.44,DMSO,C20H28O2,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,insoluble in H2O; ≥13.8 mg/mL in DMSO; ≥24.3 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Metabolism,Dopamine _-hydroxylase,Dopamine _-hydroxylase activator,https://www.apexbt.com/search.php?catalog=A4330
A4334,Avanafil,330784-47-9,H02,L1021-04,483.95,DMSO,C23H26ClN7O3,O=C(C1=CN=C(N2[[C@H](CO)CCC2)N=C1NCC3=CC=C(OC)C(Cl)=C3)NCC4=NC=CC=N4,insoluble in H2O; insoluble in EtOH; ≥17.6 mg/mL in DMSO,Free Base,Metabolism,PDE,PDE5 inhibitor,https://www.apexbt.com/search.php?catalog=A4334
A4336,Mycophenolate Mofetil,128794-94-5,H03,L1021-04,433.49,DMSO,C23H31NO7,CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)OCCN3CCOCC3)OC,insoluble in H2O; ≥15.68 mg/mL in EtOH with ultrasonic; ≥16.25 mg/mL in DMSO,Free Base,Metabolism,Dehydrogenase,IMPDH inhibitor,https://www.apexbt.com/search.php?catalog=A4336
A4337,Cilostazol,73963-72-1,H04,L1021-04,369.46,DMSO,C20H27N5O2,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,insoluble in H2O; ≥15.4 mg/mL in DMSO; ≥3.95 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Metabolism,PDE,PDE3 inhibitor,https://www.apexbt.com/search.php?catalog=A4337
A4338,Rivaroxaban,366789-02-8,H05,L1021-04,435.88,DMSO,C19H18ClN3O5S,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,insoluble in H2O; insoluble in EtOH; ≥13.9 mg/mL in DMSO with gentle warming,Free Base,Metabolism,Factor Xa,Factor Xa inhibitor,https://www.apexbt.com/search.php?catalog=A4338
A4340,Pimobendan,74150-27-9,H06,L1021-04,334.37,DMSO,C19H18N4O2,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC,insoluble in H2O; ≥16.2 mg/mL in DMSO; ≥19.48 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Metabolism,PDE,Selective PDE3 inhibitor.Ca2+ channel sensitizer,https://www.apexbt.com/search.php?catalog=A4340
A4341,Apixaban,503612-47-3,H07,L1021-04,459.5,DMSO,C25H25N5O4,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,insoluble in H2O; ≥10.64 mg/mL in EtOH with gentle warming and ultrasonic; ≥11.5 mg/mL in DMSO,Free Base,Proteases,Thrombin,Factor Xa inhibitor,https://www.apexbt.com/search.php?catalog=A4341
A4342,Gimeracil,103766-25-2,H08,L1021-04,145.54,DMSO,C5H4ClNO2,C1=C(C(=CNC1=O)Cl)O,insoluble in H2O; ≥6.56 mg/mL in EtOH with gentle warming and ultrasonic; ≥6.6 mg/mL in DMSO,Free Base,Metabolism,Dehydrogenase,Dihydropyrimidine dehydrogenase inhibitor,https://www.apexbt.com/search.php?catalog=A4342
A4343,Dyphylline,479-18-5,H09,L1021-04,254.24,DMSO,C10H14N4O4,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,≥17.17 mg/mL in H2O; ≥21.96 mg/mL in EtOH with gentle warming and ultrasonic; ≥7.8 mg/mL in DMSO,Free Base,Metabolism,PDE,Pan-PDE inhibitor,https://www.apexbt.com/search.php?catalog=A4343
A4344,Ozagrel,82571-53-7,H10,L1021-04,228.25,DMSO,C13H12N2O2,C1=CC(=CC=C1CN2C=CN=C2)C=CC(=O)O,≥10.8 mg/mL in DMSO; ≥13.23 mg/mL in EtOH with gentle warming and ultrasonic; ≥17.03 mg/mL in H2O,Free Base,Metabolism,Factor Xa,Thromboxane A2 synthetase inhibitor,https://www.apexbt.com/search.php?catalog=A4344
A4346,Aminophylline,317-34-0,H11,L1021-04,420.43,H2O,C16H24N10O4,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,≥13.48 mg/mL in DMSO with gentle warming and ultrasonic; ≥14.45 mg/mL in H2O with gentle warming; ≥16.933 mg/mL in EtOH with gentle warming and ultrasonic,Ethylenediamine,Metabolism,PDE,Pan-PDE inhibitor,https://www.apexbt.com/search.php?catalog=A4346
A4347,Methotrexate,59-05-2,A01,L1021-05,454.44,DMSO,C20H22N8O5,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,≥21.55 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,Metabolism,DHFR,"Folate antagonist,inhibits DFHR",https://www.apexbt.com/search.php?catalog=A4347
A4348,Trilostane,13647-35-3,A02,L1021-05,329.43,DMSO,C20H27NO3,N#CC1=C([[C@H@]2([H])O[[C@H@]2(C([H])([H])C3([H])[H])[[C@H@](C1([H])[H])(C([H])([H])[H])[[C@H]4([H])[[C@H]3([H])[[C@H@](C([H])([H])C([H])([H])[[C@H]5([H])O[H])([H])[[C@H]5(C([H])([H])[H])C([H])([H])C4([H])[H])O[H],insoluble in H2O; insoluble in EtOH; ≥16.35 mg/mL in DMSO,Free Base,Metabolism,Dehydrogenase,3_-HSD inhibitor,https://www.apexbt.com/search.php?catalog=A4348
A4349,S- (+)-Rolipram,85416-73-5,A03,L1021-05,275.34,DMSO,C16H21NO3,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,insoluble in H2O; ≥13.9 mg/mL in DMSO; ≥20.76 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Metabolism,PDE,CAMP-specific PDE4 inhibitor,https://www.apexbt.com/search.php?catalog=A4349
A4350,Pralatrexate,146464-95-1,A04,L1021-05,477.47,DMSO,C23H23N7O5,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,≥23.85 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Metabolism,DHFR,"Antifolate,a folate analog",https://www.apexbt.com/search.php?catalog=A4350
A4352,Anagrelide HCl,58579-51-4,A05,L1021-05,292.55,DMSO,C10H8Cl3N3O,C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31.Cl,insoluble in EtOH; insoluble in H2O; ≥4.9 mg/mL in DMSO,Hydrochloride,Metabolism,PDE,Thrombocytopenic agent,https://www.apexbt.com/search.php?catalog=A4352
A4353,Pyrimethamine,58-14-0,A06,L1021-05,248.71,DMSO,C12H13ClN4,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,insoluble in H2O; ≥10 mg/mL in DMSO with gentle warming; ≥5.23 mg/mL in EtOH with ultrasonic,Free Base,Metabolism,DHFR,DHFR inhibitor,https://www.apexbt.com/search.php?catalog=A4353
A4357,Dorzolamide HCl,130693-82-2,A07,L1021-05,360.9,DMSO,C10H16N2O4S3·HCl,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C.Cl,insoluble in EtOH; ≥13 mg/mL in H2O; ≥18.67 mg/mL in DMSO with ultrasonic,Hydrochloride,Metabolism,Carbonic Anhydrase,Carbonic anhydrase inhibitor,https://www.apexbt.com/search.php?catalog=A4357
A4359,Brinzolamide,138890-62-7,A08,L1021-05,383.51,DMSO,C12H21N3O5S3,O=S(C(S1)=CC2=C1S(N(CCCOC)C[[C@@H]2NCC)(=O)=O)(N)=O,insoluble in H2O; ≥15.05 mg/mL in DMSO; ≥8.82 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Metabolism,Carbonic Anhydrase,CA II inhibitor,https://www.apexbt.com/search.php?catalog=A4359
A4360,Topiramate,97240-79-4,A09,L1021-05,339.36,DMSO,C12H21NO8S,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,≥16.95 mg/mL in DMSO; ≥2.22 mg/mL in H2O with ultrasonic; ≥24.1 mg/mL in EtOH,Free Base,Metabolism,Carbonic Anhydrase,"GluR5 receptor antagonist,anticonvulsant",https://www.apexbt.com/search.php?catalog=A4360
A4362,Tioxolone,4991-65-5,A10,L1021-05,168.17,DMSO,C7H4O3S,OC1=CC(OC(S2)=O)=C2C=C1,≥63.2 mg/mL in DMSO; ≥2.33 mg/mL in H2O with gentle warming and ultrasonic; ≥22.7 mg/mL in EtOH with ultrasonic,,Metabolism,Carbonic Anhydrase,CAI inhibitor,https://www.apexbt.com/search.php?catalog=A4362
A4363,Fluvastatin Sodium,93957-55-2,A11,L1021-05,433.45,DMSO,C24H25FNNaO4,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],≥16.83 mg/mL in EtOH; ≥18.15 mg/mL in DMSO; ≥8.22 mg/mL in H2O,Sodium,Metabolism,HMG-CoA Reductase,HMG-CoA reductase inhibitor,https://www.apexbt.com/search.php?catalog=A4363
A4364,Methazolamide,554-57-4,B01,L1021-05,236.27,DMSO,C5H8N4O3S2,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,≥11.18 mg/mL in EtOH with gentle warming and ultrasonic; ≥2.58 mg/mL in H2O with gentle warming and ultrasonic; ≥7.25 mg/mL in DMSO ,Free Base,Metabolism,Carbonic Anhydrase,Carbonic anhydrase inhibitor,https://www.apexbt.com/search.php?catalog=A4364
A4365,Lovastatin,75330-75-5,B02,L1021-05,404.54,DMSO,C24H36O5,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,insoluble in H2O; ≥18.6 mg/mL in EtOH with ultrasonic; ≥20.2 mg/mL in DMSO,Free Base,Metabolism,HMG-CoA Reductase,HMG-CoA reductase inhibitor,https://www.apexbt.com/search.php?catalog=A4365
A4366,Rasagiline Mesylate,161735-79-1,B03,L1021-05,267.34,DMSO,C12H13N·CH4O3S,CS(=O)(=O)O.C#CCNC1CCC2=CC=CC=C12,≥13.37 mg/mL in DMSO; ≥46 mg/mL in EtOH with ultrasonic; ≥95.8 mg/mL in H2O,Mesylate,Metabolism,MAO,Irreversible MAO-B inhibitor,https://www.apexbt.com/search.php?catalog=A4366
A4367,Atorvastatin Calcium,134523-03-8,B04,L1021-05,1155.34,DMSO,2(C33H34FN2O5)·Ca,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2],≥57.75 mg/mL in DMSO; insoluble in H2O; ≥2.94 mg/mL in EtOH with gentle warming and ultrasonic,Calcium,Metabolism,HMG-CoA Reductase,HMG-CoA reductase inhibitor,https://www.apexbt.com/search.php?catalog=A4367
A4368,Safinamide Mesylate,202825-46-5,B05,L1021-05,398.45,DMSO,C17H19FN2O2·CH4O3S,CC(C(=O)N)NCC1=CC=C(C=C1)OCC2=CC(=CC=C2)F.CS(=O)(=O)O,≥10.08 mg/mL in EtOH with gentle warming and ultrasonic; ≥16.1 mg/mL in DMSO; ≥84.6 mg/mL in H2O,Mesylate,Metabolism,MAO,"MAO-B inhibitor,potent,selective and reversible",https://www.apexbt.com/search.php?catalog=A4368
A4369,Pravastatin sodium,81131-70-6,B06,L1021-05,446.51,DMSO,C23H35O7·Na,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)[O-])O)O)O.[Na+],≥100.4 mg/mL in EtOH with ultrasonic; ≥13.15 mg/mL in DMSO; ≥98.8 mg/mL in H2O,Free Base,Metabolism,HMG-CoA Reductase,"HMG-CoA reductase inhibitor,highly selective and competitive",https://www.apexbt.com/search.php?catalog=A4369
